"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3726","Отправка формы. Поле текстовое со скролом","","Wed Jan 14 21:18:25 UTC 2026","passed","Wed Jan 14 21:18:29 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaTest"
"CSS Locators","530","CSS Locators: Nth-Child","","Wed Jan 14 21:17:37 UTC 2026","passed","Wed Jan 14 21:17:38 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssNthChildLocator"
"Base Locators","552","Base Locators: ID","","Wed Jan 14 21:17:21 UTC 2026","passed","Wed Jan 14 21:17:22 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseIdLocator"
"","1004","Отправка формы. Поле пароль с длинным текстом","","Wed Jan 14 21:18:35 UTC 2026","passed","Wed Jan 14 21:18:36 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordNullTest"
"","4477","Отправка формы с выбранным значением Example range","","Wed Jan 14 21:18:51 UTC 2026","passed","Wed Jan 14 21:18:55 UTC 2026","","ui.WebFormTests","ui.WebFormTests","exampleRangeTest"
"","1200","cookiesTest()","","Wed Jan 14 21:16:58 UTC 2026","passed","Wed Jan 14 21:16:59 UTC 2026","","ui.CookiesTests","ui.CookiesTests","cookiesTest"
"","700","Очищение поля Text input(Clear text)","","Wed Jan 14 21:17:11 UTC 2026","passed","Wed Jan 14 21:17:12 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","clearTextTest"
"CSS Locators","569","CSS Locators: Attribute","","Wed Jan 14 21:17:26 UTC 2026","passed","Wed Jan 14 21:17:26 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssAttributeLocator"
"","1007","textIframeIsDisplayedTest()","","Wed Jan 14 21:17:08 UTC 2026","passed","Wed Jan 14 21:17:09 UTC 2026","","ui.IframesPageTests","ui.IframesPageTests","textIframeIsDisplayedTest"
"","8562","loadingImagesImplicitWaitTest()","","Wed Jan 14 21:18:08 UTC 2026","passed","Wed Jan 14 21:18:16 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesImplicitWaitTest"
"XPath Locators","540","XPath: Descendant-or-self","","Wed Jan 14 21:17:17 UTC 2026","passed","Wed Jan 14 21:17:17 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantOrSelfLocator"
"","911","Перетаскивание элемента","","Wed Jan 14 21:16:55 UTC 2026","passed","Wed Jan 14 21:16:56 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIDragAndDropTest"
"","1145","Работа с наведением мыши","","Wed Jan 14 21:16:57 UTC 2026","passed","Wed Jan 14 21:16:58 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIMouseMoveTest"
"CSS Locators","562","CSS Locators: Substring","","Wed Jan 14 21:17:22 UTC 2026","passed","Wed Jan 14 21:17:23 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSubstringLocator"
"","602","launchAlertAcceptanceTest()","","Wed Jan 14 21:17:05 UTC 2026","passed","Wed Jan 14 21:17:06 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","launchAlertAcceptanceTest"
"Base Locators","542","Base Locators: Name","","Wed Jan 14 21:17:19 UTC 2026","passed","Wed Jan 14 21:17:20 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseNameLocator"
"","858","Отправка формы c пустой текстовой областью","","Wed Jan 14 21:18:48 UTC 2026","passed","Wed Jan 14 21:18:49 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaNullTest"
"","2064","closeLaunchModalTest()","","Wed Jan 14 21:17:03 UTC 2026","passed","Wed Jan 14 21:17:05 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","closeLaunchModalTest"
